사고유형,사고위치(지번),사고장소,119출동,위험요인,선정연도,정제우편번호,정제WGS84위도,정제WGS84경도
교통,과천시 공원마을1길 29,"문원체육공원 앞 회전교차로 주변 횡단보도 (문원로 --> 과천시청,양재방향)",5,"과천시 문원체육공원  회전교차로 주변 횡단보도(문원로 ---> 과천시청, 양재방향) 주변 도로안전시설 미비로 보행자 안전사고 발생 우려",2023,13828,37.4291855629,127.0028809511
교통,상번천리 661-6,광주IC입구삼거리,4,"합류 지점 충돌사고를 예방하기 위하여 합류하는 장소 과속카메라, 사고주의 안내표시판 및 컬러 주행 유도선 설치",2023,,,
교통,산본동 1236,군포소방서 앞 사거리,5,군포소방서 앞 교차로의 수리산역 방향에서 군포문예회관 방향 좌회전 차로 노면에 컬러 유도선을 도색하여 교통사고 예방 조치,2023,,37.3531459049,126.9270024862
교통,걸포동 2-6,신향삼거리,3,외곽 배수로 홈에 차량빠짐 및 보행자 교통사고 위험이 있어 사고 예방을 위한 시선유도봉 설치로 안전지역으로 차량 유도,2023,,37.6452385248,126.7103807791
교통,구래동6920-1,구래동 한가람초등학교 인근 교차로,7,"사거리?가오대삼거리 방향 횡단보도 보행자 안전시설(볼라드) 미설치 · 사거리? 한가람삼거리 방향 차량 시선 유도봉 파손 상태   (개선의견) 보행자 안전시설(볼라드) 설치, 차량 시선 유도봉 보수",2023,,37.6466757054,126.6193346837
교통,신곡리 776-4,신곡리 신곡교 인근 삼거리 교차로,3,"교차로 주변 시야 사각지대 발생으로 교통사고 및 인명사고 위험요인 존재, 좌우회전 시 사람이 보행하는 경우가 있어 교통사고 등 위험 존재(개선의견)  시야 사각지대 해소를 위한 좌우 반사경 설치로 교차로 사고 예방 및 안전 시야 확보",2023,11772,37.7510244554,127.0806616149
기타,원미동 산20-1,원미산 원미정(팔각정),3,낙상사고를 예방하기 위하여 진입 계단 폭 확장 및 경사도를 완화하고 난간 설치,2023,14659,37.4956647922,126.8006904548
수난,작동 442,베르네천(작동 66-6번지 인근 베르네천),2,"다수 이용객의 안전을 위한 안전펜스 , 경고 표지판 설치 및 수난 장비 배치",2023,,37.5107874486,126.8075666885
붕괴,정자동 100-3,정자교 보행로,1,교량 보행로의 안전진단 및 재건,2023,,,
기타,삼평동 667,운중천변 보도,1,보도 배수관리 및 매끄럽지 못한 표면 정비,2023,,37.3993149787,127.1111958558
교통,수진동 성남대로상,태평역 사거리,20,"보행자 통행이 많은 구간으로 보행자의 횡단보도 및 내리막 도로 전방 횡단보도 시인성 부족 등으로 인해 횡단보도 바닥신호등, 점등형 표지병 설치, 조명식 횡단보도 주의 표지 설치 등",2023,,,
교통,둔전교 교량 하부,둔전교 하부 자전거도로,20,"둔전교 하부통과시 순간적으로 어두워지면서 발생하는 추돌사고 예방하기 위하여 보행자 충돌주의 안내판 설치, 쏠라표지병 및 교량 하부등 설치 등",2023,,,
교통,장당동 649,장당중학교사거리 중앙지하차도 초입,11,장당중학교사거리서 무리한 우회전으로 과속차량과 충돌방지를 위해 차선 규제봉 설치,2023,,37.0500276161,127.0598870478
안전조치,향교로1번길,수원역 버스정류장 뒤 이면도로,31,인파밀집지역으로 보안용 CCTV 설치,2023,,,
교통,거모동 1696-5,거모동 1696-5 일대(터널 천장),6,교량 하부 천정 실링재 상태 불량 및 자동염수분사장치 설치 장소 배수불량으로 인한 누수발생,2023,,37.3643754935,126.7681816710
