학교ID,학교명,소재지도로명주소,위도,경도
B000009458,운천중학교,경기도 오산시 운암로 133,37.1583031167,127.0780451793
B000012603,운천고등학교,경기도 오산시 운천로 193,37.1559140426,127.0804910337
B000012604,운암고등학교,경기도 오산시 운천로 12,37.1438247389,127.0750516013
B000004238,운천초등학교,경기도 오산시 운암로 116,37.1559475051,127.0797588230
B000004163,남양초등학교,경기도 화성시 남양읍 남양시장로55번길 7,37.2103863895,126.8155371962
B000004164,동양초등학교,경기도 화성시 남양읍 시청로45번길 11,37.2070354908,126.8222051325
B000004165,활초초등학교,경기도 화성시 남양읍 안석길111번길 106,37.1788035615,126.8253300805
B000004166,반석초등학교,경기도 화성시 동탄반석로 22,37.1936290164,127.0779500800
B000004167,솔빛초등학교,경기도 화성시 동탄반석로 84,37.1967330976,127.0738199840
B000004168,반송초등학교,경기도 화성시 동탄솔빛로 14,37.1905362227,127.0701592150
B000004169,석우초등학교,경기도 화성시 동탄시범한빛길 32,37.2089534825,127.0681050958
B000004170,숲속초등학교,경기도 화성시 동탄공원로2길 10,37.2060952383,127.0605370932
B000004171,화성금곡초등학교,경기도 화성시 동탄문화센터로 13,37.1988617455,127.0667315222
B000004172,학동초등학교,경기도 화성시 동탄지성로 79-17,37.2050065189,127.0659638987
B000004173,예당초등학교,경기도 화성시 동탄반석로 245,37.2105746501,127.0752072557
B000004174,기안초등학교,경기도 화성시 기안길 18,37.2251225073,126.9821413515
B000004175,능동초등학교,경기도 화성시 동탄원천로 315-27,37.2133455179,127.0589171812
B000004176,푸른초등학교,경기도 화성시 동탄공원로 21-38,37.2023890191,127.0553185786
B000004177,한마음초등학교,경기도 화성시 동탄숲속로 69-6,37.2085133074,127.0563194600
B000004178,동학초등학교,경기도 화성시 영통로27번길 46,37.2330704035,127.0595125218
B000004179,기산초등학교,경기도 화성시 동탄지성로 344,37.2245369276,127.0506571838
B000004180,율목초등학교,경기도 화성시 영통로50번길 19,37.2370454798,127.0643597541
B000004181,배양초등학교,경기도 화성시 융건로 90,37.2188413493,126.9887328833
B000004182,화성벌말초등학교,경기도 화성시 떡전골로 34,37.2026018155,127.0379069553
B000004183,송화초등학교,경기도 화성시 병점중앙로35번길 42,37.2018424841,127.0396695070
B000004184,태안초등학교,경기도 화성시 병점3로 77,37.2106268038,127.0408671235
B000004185,안화초등학교,경기도 화성시 병점3로 132-5,37.2128512465,127.0473679211
B000004186,구봉초등학교,경기도 화성시 병점1로 105,37.2056483233,127.0448302713
B000004187,화산초등학교,경기도 화성시 화산중앙로64번길 17,37.2114280669,127.0135208720
B000004188,안녕초등학교,경기도 화성시 화산로 2,37.2058729970,127.0085642219
B000004189,병점초등학교,경기도 화성시 경기대로 1052,37.2099560551,127.0352925668
B000004190,진안초등학교,경기도 화성시 병점4로 97,37.2169532772,127.0405131975
B000004191,봉담초등학교,경기도 화성시 봉담읍 진등3길 15,37.2227198478,126.9471475500
B000004192,갈담초등학교,경기도 화성시 봉담읍 갈담초교길 24,37.1751038483,126.9329519485
B000004193,와우초등학교,경기도 화성시 봉담읍 식골길 14,37.2201670032,126.9724254426
B000004194,상봉초등학교,경기도 화성시 봉담읍 상봉길 52,37.2181767882,126.9549239682
B000004195,동화초등학교,경기도 화성시 봉담읍 동화새터길 130,37.2153127811,126.9613688733
B000004196,수기초등학교,경기도 화성시 봉담읍 수기웃말길 27,37.2016139275,126.9800708047
B000004197,수영초등학교,경기도 화성시 봉담읍 수영로 63,37.2361835652,126.9542419303
B000004198,도이초등학교,경기도 화성시 향남읍 행정동로 87,37.1326867890,126.9261195289
B000004199,행정초등학교,경기도 화성시 향남읍 행정중앙1로 77,37.1265545835,126.9237229533
B000004200,갈천초등학교,경기도 화성시 향남읍 발안로 701-23,37.1272495722,126.9804786250
B000004201,제암초등학교,경기도 화성시 향남읍 발안서로 21,37.1311711447,126.9021510405
B000004202,발안초등학교,경기도 화성시 향남읍 발안로 8,37.1304200330,126.9123792769
B000004203,향남초등학교,경기도 화성시 향남읍 왜골길 7,37.1196964155,126.9429109850
B000004204,한울초등학교,경기도 화성시 향남읍 행정중앙1로 25,37.1269764508,126.9178207895
B000004206,석천초등학교,경기도 화성시 우정읍 석천길 52,37.0551694324,126.7888054267
B000004207,우정초등학교,경기도 화성시 우정읍 버들로 136,37.0815143014,126.8003501953
B000004208,화성화수초등학교,경기도 화성시 우정읍 화수동길 145,37.1093115256,126.7969206844
B000004209,동탄초등학교,경기도 화성시 동탄감배산로 26,37.1891147134,127.0913039024
B000004210,송라초등학교,경기도 화성시 매송면 푸른들판로 1970-16,37.2733530140,126.8888581646
