위도,경도
37.280718,126.825285
37.280935,126.825125
37.280176,126.825599
37.280453,126.825409
37.275811,126.825431
37.275018,126.825999
37.275269,126.825697
37.275393,126.825532
37.275523,126.825768
37.275356,126.825934
37.275193,126.826131
37.275044,126.826341
37.275684,126.825596
37.275231,126.825161
37.275036,126.825391
37.275525,126.825377
37.275657,126.825238
37.276132,126.825048
37.250056,126.763531
37.250061,126.763925
37.250036,126.762348
37.250082,126.764713
37.250051,126.763137
37.250066,126.764321
37.250043,126.762742
37.250011,126.761165
37.250019,126.761561
37.250028,126.761954
37.250001,126.760773
37.250087,126.769281
37.250086,126.768941
37.250083,126.767587
37.250078,126.765758
37.250076,126.765391
37.250101,126.765051
37.250082,126.766911
37.250088,126.769955
37.250079,126.765959
37.250085,126.768264
37.250084,126.767927
37.250087,126.769618
37.250081,126.766168
37.250081,126.766375
37.250082,126.766578
37.250083,126.767249
37.250085,126.768602
37.250281,126.795211
37.250304,126.798571
37.250338,126.798943
37.250371,126.796572
37.250345,126.796221
37.250118,126.796255
37.250095,126.795925
37.250073,126.795583
37.250053,126.795246
37.250718,126.799216
37.250599,126.799251
37.250569,126.798914
37.250201,126.797378
37.250176,126.797051
37.250441,126.799958
37.250173,126.798911
37.250241,126.799209
37.250714,126.798929
37.250241,126.797845
37.250272,126.798213
37.250322,126.795892
37.250429,126.797343
37.250403,126.797019
37.250533,126.798561
37.250499,126.798181
37.250467,126.797812
37.250142,126.796594
37.250301,126.795545
37.250371,126.799287
37.250274,126.799541
37.250312,126.799882
37.250749,126.799515
37.250784,126.799846
37.250667,126.799924
37.250633,126.799591
37.250405,126.799624
37.250131,126.787424
37.250131,126.787194
37.250129,126.786921
37.250161,126.788361
37.250145,126.787898
37.250131,126.787668
37.250129,126.786431
37.250162,126.788853
37.250129,126.786647
37.250128,126.786179
37.250124,126.785449
37.250118,126.785201
37.250161,126.788141
37.250162,126.789011
37.250161,126.788601
37.250127,126.785698
37.250127,126.785939
37.250168,126.789764
37.250199,126.789593
37.250169,126.789182
37.250266,126.785343
