학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000009145,고색중학교,중학교,1999-03-01,공립,본교,운영,경기도 수원시 권선구 고색동 888-92,경기도 수원시 권선구 매송고색로711번길 50,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.2535939578,126.9813037797,2025-09-22
B000004510,대화초등학교,초등학교,1952-09-23,공립,본교,운영,경기도 고양시 일산서구 대화동 1643,경기도 고양시 일산서구 송포로 50,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6715685764,126.7324022569,2025-09-22
B000004771,지현초등학교,초등학교,1966-09-01,공립,본교,운영,경기도 포천시 화현면 지현리 279-6,경기도 포천시 화현면 봉화로 926-9,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.9290686171,127.2654579570,2025-09-22
B000004559,금교초등학교,초등학교,2001-09-01,공립,본교,운영,경기도 남양주시 다산동 4002-17,경기도 남양주시 미금로 194,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.6142817821,127.1616068316,2025-09-22
B000004762,추산초등학교,초등학교,1998-10-31,공립,본교,운영,경기도 포천시 소흘읍 송우리 728-11,경기도 포천시 소흘읍 솔모루로3번길 52-20,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.8257059498,127.1371905370,2025-09-22
B000009599,원당중학교,중학교,1983-01-16,공립,본교,운영,경기도 고양시 덕양구 주교동 527-5,경기도 고양시 덕양구 마상로 1,7530000,경기도교육청,7621000,경기도고양교육지원청,2013-11-29,2025-07-01,37.6647058884,126.8230652228,2025-09-22
B000003654,곡선초등학교,초등학교,1994-03-01,공립,본교,운영,경기도 수원시 권선구 권선동 1199,경기도 수원시 권선구 덕영대로1217번길 36,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.2507875996,127.0257279248,2025-09-22
B000003688,태장초등학교,초등학교,1919-11-24,공립,본교,운영,경기도 수원시 영통구 망포동 371,경기도 수원시 영통구 태장로71번길 30,7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2025-07-01,37.2408673199,127.0546416452,2025-09-22
B000004770,내촌초등학교,초등학교,1930-12-17,공립,본교,운영,경기도 포천시 내촌면 내리 316-1,경기도 포천시 내촌면 내촌로 88,7530000,경기도교육청,7711000,경기도포천교육지원청,2013-11-29,2025-07-01,37.7872525638,127.2299389255,2025-09-22
B000027204,다산한강중학교,중학교,2019-09-01,공립,본교,운영,경기도 남양주시 다산동 6241,경기도 남양주시 다산지금로145번길 20,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2013-11-29,2025-07-01,37.5993040140,127.1753707842,2025-09-22
B000012452,성남고등학교,고등학교,1972-03-06,공립,본교,운영,경기도 성남시 중원구 성남동 2870,경기도 성남시 중원구 시민로 61,7530000,경기도교육청,7551000,경기도성남교육지원청,2013-11-29,2025-07-01,37.4340307947,127.1471376757,2025-09-22
B000004303,도수초등학교,초등학교,1934-12-05,공립,본교,운영,경기도 광주시 퇴촌면 도수리 605-1,경기도 광주시 퇴촌면 도수길 11,7530000,경기도교육청,7692000,경기도광주하남교육지원청,2013-11-29,2025-07-01,37.4718157153,127.3182606524,2025-09-22
B000024702,청림초등학교,초등학교,2019-03-01,공립,본교,운영,경기도 화성시 산척동 704,경기도 화성시 동탄산척로 93-22,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2025-07-01,37.1745974485,127.1113769750,2025-09-22
B000012753,설악고등학교,고등학교,1968-03-02,공립,본교,운영,경기도 가평군 설악면 신천리 72,경기도 가평군 설악면 한양부로 21-1,7530000,경기도교육청,7721000,경기도가평교육지원청,2013-11-29,2025-07-01,37.6820521503,127.4943294917,2025-09-22
B000012519,선부고등학교,고등학교,2009-03-01,공립,본교,운영,경기도 안산시 단원구 선부동 35,경기도 안산시 단원구 지곡로 138,7530000,경기도교육청,7611000,경기도안산교육지원청,2013-11-29,2025-07-01,37.3413835935,126.7939162057,2025-09-22
